date,1988,1989,1990
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,0
129,,,0
130,,,0
131,,,0
132,,,0
133,,,0
134,,,0
135,,,0
136,,,0
137,,,0
138,,,0
139,,,0
140,,,0
141,,,0
142,,,0
143,,,0
144,,,0
145,,,0
146,,0,0
147,,0,0
148,,0,0
149,,0,0
150,,0,0
151,,11,0
152,,5,5
153,,6,1
154,,7,8
155,,33,4
156,,77,5
157,,0,4
158,,5,17
159,2,2,0
160,0,0,15
161,0,5,2
162,1,947,1
163,1,675,0
164,0,252,87
165,0,226,263
166,0,23,384
167,0,2,173
168,0,4592,730
169,3,1317,1015
170,2,1506,2132
171,3,640,34
172,2,2968,3310
173,0,880,107
174,957,1649,1435
175,0,2297,89
176,14,2247,1004
177,5,504,5016
178,35,5845,1001
179,25,5818,1549
180,1144,1254,937
181,8145,1120,1486
182,1775,1393,190
183,604,1449,1100
184,2755,1911,2948
185,987,3438,2833
186,94,1374,70
187,253,76,10
188,490,1684,996
189,3679,930,709
190,281,3613,2109
191,20,4184,1482
192,1329,2423,216
193,1683,1499,222
194,1021,1190,839
195,4210,548,560
196,255,94,3556
197,72,601,4923
198,175,472,1751
199,190,937,940
200,519,1156,1398
201,1714,1017,3513
202,717,897,2606
203,64,110,3713
204,0,951,619
205,2275,70,1366
206,4,2758,341
207,3378,1649,280
208,484,1136,1118
209,219,2267,153
210,1113,1654,
211,948,473,
212,1074,458,
213,377,737,
214,101,1188,
215,1319,1013,
216,57,1045,
217,445,250,
218,323,562,
219,323,195,
220,7,313,
221,76,255,
222,15,242,
223,44,213,
224,64,67,
225,81,332,
226,56,174,
227,123,227,
228,98,234,
229,50,11,
230,38,,
231,30,,
232,19,,
233,28,,
234,9,,
